City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tiksi,RU,71.6872,128.8694,-23.76,100,95,1.28,overcast clouds
79,La Libertad,EC,-2.2333,-80.9,75.02,87,100,8.81,light rain
80,Nikolskoye,RU,59.7035,30.7861,34.88,98,100,3.78,light snow
81,Talnakh,RU,69.4865,88.3972,-9.67,97,100,6.42,overcast clouds
82,Los Chiles,CR,11.0333,-84.7167,83.39,55,85,8.14,overcast clouds
83,Deputatskiy,RU,69.3,139.9,-24.7,100,100,1.39,overcast clouds
84,Narsaq,GL,60.9167,-46.05,15.66,76,8,6.15,clear sky
85,Pisco,PE,-13.7,-76.2167,78.03,71,34,8.5,scattered clouds
86,Manoleasa,RO,47.9833,27.0667,36.99,87,100,10.87,overcast clouds
87,Bambous Virieux,MU,-20.3428,57.7575,81.21,85,59,11.12,light rain
88,Yalutorovsk,RU,56.6536,66.3006,22.24,94,100,8.75,overcast clouds
89,Yellowknife,CA,62.456,-114.3525,-5.58,83,45,11.01,scattered clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,80.33,77,4,6.85,clear sky
91,Bluff,NZ,-46.6,168.3333,58.8,93,100,7.18,overcast clouds
92,Hovd,MN,48.0056,91.6419,2.14,74,3,6.4,clear sky
93,Strezhevoy,RU,60.7333,77.5889,28.38,91,100,10.85,overcast clouds
94,Bonfim,BR,3.0833,-59.95,85.71,61,97,7.65,overcast clouds
95,Chake Chake,TZ,-5.2459,39.7666,79.99,74,92,11.48,overcast clouds
96,Nguruka,TZ,-5.1092,31.0419,70.11,85,95,1.74,moderate rain
97,Auki,SB,-8.7676,160.7034,76.93,88,100,4.14,overcast clouds
98,Salalah,OM,17.0151,54.0924,76.26,67,0,3.78,clear sky
99,New Norfolk,AU,-42.7826,147.0587,62.92,71,80,2.75,broken clouds
100,Algiers,DZ,36.7525,3.042,60.62,67,20,12.66,few clouds
101,Gat,IL,31.61,34.7642,57.88,100,24,14.56,few clouds
102,Hasaki,JP,35.7333,140.8333,39.6,52,16,23.29,few clouds
103,Hofn,IS,64.2539,-15.2082,41.02,70,20,3.44,few clouds
104,Saint George,US,37.1041,-113.5841,59.47,46,0,0.0,clear sky
105,Belyy Gorodok,RU,56.965,37.5125,27.99,96,100,2.89,overcast clouds
106,Cortez,US,37.3489,-108.5859,55.71,42,99,4.88,overcast clouds
107,Abu Zabad,SD,12.35,29.25,94.41,13,22,8.46,few clouds
108,Klaksvik,FO,62.2266,-6.589,45.52,94,100,32.37,overcast clouds
109,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.42,73,96,3.24,overcast clouds
110,Ancud,CL,-41.8697,-73.8203,56.43,91,100,10.69,light rain
111,Badarwas,IN,24.9667,77.5667,72.43,27,0,6.58,clear sky
112,Chester,US,40.1254,-75.8749,44.02,51,0,11.5,clear sky
113,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,59,10.16,light rain
114,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
115,Akdepe,TM,42.0551,59.3788,59.0,39,43,12.55,scattered clouds
116,Dwarka,IN,22.2394,68.9678,77.14,53,0,8.08,clear sky
117,Fairbanks,US,64.8378,-147.7164,2.1,79,99,3.42,overcast clouds
118,Svetlogorsk,BY,52.6333,29.7333,33.01,98,100,5.1,overcast clouds
119,Paredon,MX,16.0333,-93.8667,86.7,47,1,4.45,clear sky
120,Manta,EC,-0.95,-80.7333,79.21,77,100,3.49,light rain
121,Wanlaweyn,SO,2.6185,44.8938,85.42,48,69,22.37,broken clouds
122,Jamestown,US,42.097,-79.2353,24.08,55,100,12.66,overcast clouds
123,Lebu,CL,-37.6167,-73.65,63.81,84,97,9.53,overcast clouds
124,Necochea,AR,-38.5473,-58.7368,81.03,23,0,4.36,clear sky
125,Carnarvon,AU,-24.8667,113.6333,79.95,36,0,25.03,clear sky
126,Kamaishi,JP,39.2667,141.8833,32.13,71,9,5.88,clear sky
127,Ambulu,ID,-8.345,113.6058,76.71,93,100,2.19,moderate rain
128,Karasjok,NO,69.4719,25.5112,26.71,85,68,11.52,broken clouds
129,Haines Junction,CA,60.7522,-137.5108,-5.31,100,100,2.75,overcast clouds
130,Mataura,NZ,-46.1927,168.8643,58.48,99,100,1.5,overcast clouds
131,Khasan,RU,42.4308,130.6434,32.67,70,13,5.82,few clouds
132,Vanimo,PG,-2.6741,141.3028,77.92,89,92,4.23,overcast clouds
133,Diego De Almagro,CL,-26.3667,-70.05,79.3,29,0,8.23,clear sky
134,Vetlanda,SE,57.4289,15.0776,42.67,89,11,3.69,few clouds
135,Cockburn Town,TC,21.4612,-71.1419,78.1,76,8,12.44,clear sky
136,Cayenne,GF,4.9333,-52.3333,81.09,84,75,8.99,light rain
137,Nazret,ET,8.55,39.2667,73.44,20,73,13.89,broken clouds
138,Yangshan,CN,28.7615,115.0287,58.93,89,94,2.66,overcast clouds
139,Bokoro,TD,12.3807,17.0568,100.29,5,66,8.52,broken clouds
140,Norwich,GB,52.6278,1.2983,54.21,64,97,11.5,overcast clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,71.62,71,0,17.0,clear sky
142,Marsh Harbour,BS,26.5412,-77.0636,73.45,60,3,12.66,clear sky
143,Airai,TL,-8.9266,125.4092,61.32,89,26,0.94,scattered clouds
144,San Francisco,US,37.7749,-122.4194,53.83,92,100,11.01,overcast clouds
145,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.56,85,100,10.74,overcast clouds
146,Santa Cruz,BO,-17.8,-63.1667,82.45,69,75,9.22,light rain
147,Ilorin,NG,8.5,4.55,85.39,53,96,18.7,light rain
148,Bredasdorp,ZA,-34.5322,20.0403,68.29,58,86,15.28,overcast clouds
149,Upernavik,GL,72.7868,-56.1549,13.87,88,97,16.96,overcast clouds
150,Nouadhibou,MR,20.931,-17.0347,65.68,75,0,25.03,clear sky
151,Adrar,MR,20.5022,-10.0711,80.64,9,0,18.34,clear sky
152,Riyadh,SA,24.6877,46.7219,80.58,13,38,13.06,scattered clouds
153,Dingle,PH,10.9995,122.6711,75.45,92,8,8.08,clear sky
154,Puerto El Triunfo,SV,13.2833,-88.55,88.34,43,1,1.99,clear sky
155,Kapaa,US,22.0752,-159.319,73.38,76,1,5.99,light rain
156,Khatanga,RU,71.9667,102.5,-29.16,100,98,1.34,overcast clouds
157,Kruisfontein,ZA,-34.0033,24.7314,72.88,70,17,12.24,few clouds
