City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Omboue,GA,77.9,light rain,-1.5746,9.2618,Hotel Olako
368,Macenta,GN,90.68,overcast clouds,8.5435,-9.471,Hôtel Yansané
370,Itupiranga,BR,80.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
371,Maumere,ID,79.86,scattered clouds,-8.6199,122.2111,Sylvia Hotel
372,Muros,ES,52.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
373,Vila Franca Do Campo,PT,61.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
374,Hyeres,FR,57.43,broken clouds,43.1167,6.1167,ibis budget Hyères Centre-Ville
375,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
376,Itaporanga,BR,94.93,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
377,Brae,GB,44.51,overcast clouds,60.3964,-1.353,Busta House Hotel
378,Najran,SA,74.1,clear sky,17.4924,44.1277,محمد هادي ال فطيح
380,Biltine,TD,96.89,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
381,Lewistown,US,40.78,clear sky,40.5992,-77.5714,Quality Inn & Suites
382,Mecca,SA,85.78,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
383,Salinopolis,BR,83.5,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
384,Kudahuvadhoo,MV,82.47,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
387,Mazatlan,MX,72.91,few clouds,23.2167,-106.4167,Hotel La Siesta
389,Horni Plana,CZ,40.87,clear sky,48.7674,14.0326,EA Hotel On The Lake
390,Durmersheim,DE,53.33,clear sky,48.9386,8.274,Hotel zum Ochsen
391,Gouyave,GD,79.07,broken clouds,12.1646,-61.7296,Rumboat Retreat
392,Fort Walton Beach,US,72.52,light intensity drizzle,30.4058,-86.6188,Best Western Ft. Walton Beachfront
394,Marienburg,PL,40.84,few clouds,54.0359,19.0266,Hotel Centrum Malbork
396,Kibala,TD,102.96,scattered clouds,9.1104,18.3463,hotel safari
397,Alpoyeca,MX,79.99,clear sky,17.6667,-98.5167,"Puente VEHICULAR ALPOYECA-SAN JOSE BUENA VISTA GUERRERO, MÉXICO."
398,Petatlan,MX,84.0,clear sky,17.5167,-101.2667,Hotel California Petatlán
400,Mahibadhoo,MV,82.92,broken clouds,3.7833,72.9667,Omadhoo Inn
403,Maldonado,UY,74.59,clear sky,-34.6667,-54.9167,La Cimarrona
404,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
405,Pihani,IN,69.76,clear sky,27.6333,80.2,Tazmirul Hasan PWD
408,Mopti,ML,94.44,overcast clouds,14.6667,-4.0,
409,Aguilas,ES,71.2,overcast clouds,37.4063,-1.5829,Hotel Carlos III
410,San Rafael,AR,83.14,clear sky,-34.6177,-68.3301,Hotel San Rafael
412,Bismil,TR,51.42,light rain,37.8486,40.6658,Hotel Dolay
413,Margate,GB,54.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
414,Sawtell,AU,68.18,few clouds,-30.3833,153.1,The Bungalow Sawtell
416,Tacoronte,ES,66.56,scattered clouds,28.4769,-16.4102,Casa Laurel
417,Isangel,VU,79.36,scattered clouds,-19.55,169.2667,Tanna Lodge
418,Dhidhdhoo,MV,82.89,scattered clouds,6.8833,73.1,Dhidhoo beach
419,Roanne,FR,55.81,overcast clouds,46.0,4.0,Troisgros
420,Masallatah,LY,58.78,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
421,Maryville,US,70.27,few clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
422,Saint-Leu,RE,79.66,scattered clouds,-21.15,55.2833,La Caz Oceane
423,Pacific Grove,US,55.98,clear sky,36.6177,-121.9166,Lovers Point Inn
425,Butembo,CD,65.88,broken clouds,0.15,29.2833,Hotel Butembo
426,Mangrol,IN,78.48,clear sky,21.1167,70.1167,Hotel The Royal Honours
427,Plettenberg Bay,ZA,68.49,broken clouds,-34.0527,23.3716,Thanda Vista B&B
428,Valdivia,CL,68.09,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
430,Marzuq,YE,69.4,clear sky,14.4,46.4667,
432,Quisqueya,DO,86.14,clear sky,18.5554,-69.4081,Pensión doña rosa
433,Cikupa,ID,80.37,overcast clouds,-6.2364,106.5083,Amaris Hotel Citra Raya - Tangerang
434,Juba,SS,90.5,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
435,Belmonte,BR,79.3,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
437,Cururupu,BR,85.96,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
439,Pointe Michel,DM,79.68,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
440,Samana,DO,82.62,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
441,Sinnamary,GF,79.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
