City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chuy,UY,2022-02-27 16:40:13,-33.6971,-53.4616,71.04,98,100,2.84
68,Provideniya,RU,2022-02-27 16:40:13,64.3833,-173.3,29.62,97,100,14.56
69,North Bend,US,2022-02-27 16:40:13,43.4065,-124.2243,50.72,81,100,11.5
70,Ishinomaki,JP,2022-02-27 16:40:14,38.4167,141.3,37.4,66,3,13.04
71,Sinnamary,GF,2022-02-27 16:40:14,5.3833,-52.95,80.17,85,85,12.15
72,Pandamatenga,BW,2022-02-27 16:40:14,-18.5278,25.627,76.46,48,74,5.28
73,Kankon,IN,2022-02-27 16:40:14,15.0167,74.0167,80.4,72,26,6.22
74,Kibala,TD,2022-02-27 16:40:15,9.1104,18.3463,92.52,11,52,3.31
75,Madera,US,2022-02-27 16:39:03,37.1666,-119.8343,56.05,44,93,1.66
76,Kamenka,RU,2022-02-27 16:40:15,51.3223,42.7678,32.22,99,100,6.31
77,Thompson,CA,2022-02-27 16:40:15,55.7435,-97.8558,-5.76,85,6,5.35
78,Kushima,JP,2022-02-27 16:39:15,31.4583,131.2333,44.11,81,0,4.61
79,Cockburn Town,TC,2022-02-27 16:40:16,21.4612,-71.1419,77.2,73,6,12.68
80,Ayan,RU,2022-02-27 16:40:16,56.45,138.1667,-4.61,80,67,10.51
81,Hasaki,JP,2022-02-27 16:39:12,35.7333,140.8333,45.75,45,20,5.53
82,Constitucion,CL,2022-02-27 16:40:16,-35.3333,-72.4167,69.03,55,0,17.94
83,San Ignacio,BZ,2022-02-27 16:40:17,17.1561,-89.0714,85.26,44,5,2.53
84,Vaini,TO,2022-02-27 16:40:17,-21.2,-175.2,75.36,100,100,4.61
85,Eydhafushi,MV,2022-02-27 16:40:17,5.1033,73.0708,82.6,76,85,14.03
86,Coolum Beach,AU,2022-02-27 16:36:09,-26.5333,153.1,70.32,95,44,10.69
87,Manta,EC,2022-02-27 16:39:24,-0.95,-80.7333,75.99,88,100,9.6
88,Bambous Virieux,MU,2022-02-27 16:40:18,-20.3428,57.7575,80.22,89,40,3.44
89,Hami,CN,2022-02-27 16:39:08,42.8,93.45,31.55,29,0,19.69
90,Suhindol,BG,2022-02-27 16:41:18,43.1917,25.1811,36.01,95,100,10.47
91,Cervo,ES,2022-02-27 16:41:18,43.6702,-7.4101,62.19,82,84,3.33
92,Vallenar,CL,2022-02-27 16:41:19,-28.5708,-70.7581,85.03,29,4,7.16
93,San Rafael,AR,2022-02-27 16:41:19,-34.6177,-68.3301,78.55,32,14,10.8
94,Kapaa,US,2022-02-27 16:41:19,22.0752,-159.319,71.58,70,100,5.75
95,Puerto Leguizamo,CO,2022-02-27 16:41:19,-0.1934,-74.7819,70.97,100,100,1.9
96,Nikolskoye,RU,2022-02-27 16:37:42,59.7035,30.7861,20.25,92,7,5.84
97,Palmer,US,2022-02-27 16:41:20,42.1584,-72.3287,34.47,62,14,12.06
98,Lorengau,PG,2022-02-27 16:41:20,-2.0226,147.2712,79.95,75,100,1.36
99,Salalah,OM,2022-02-27 16:40:15,17.0151,54.0924,71.83,80,15,1.3
100,Ilulissat,GL,2022-02-27 16:41:20,69.2167,-51.1,-9.13,92,93,2.86
101,Kollo,NE,2022-02-27 16:41:21,13.3043,2.339,99.03,7,16,6.91
102,Kodiak,US,2022-02-27 16:41:21,57.79,-152.4072,33.31,69,0,6.91
103,Tura,IN,2022-02-27 16:41:21,25.5198,90.2201,64.24,49,1,3.76
104,Poum,NC,2022-02-27 16:41:21,-20.2333,164.0167,81.23,81,100,7.23
105,Arraial Do Cabo,BR,2022-02-27 16:40:35,-22.9661,-42.0278,89.56,65,20,16.11
106,Tutoia,BR,2022-02-27 16:41:22,-2.7619,-42.2744,89.58,69,92,13.29
107,Vestmannaeyjar,IS,2022-02-27 16:37:46,63.4427,-20.2734,36.59,87,75,26.46
108,Atuona,PF,2022-02-27 16:41:22,-9.8,-139.0333,78.46,73,77,17.63
109,Petatlan,MX,2022-02-27 16:41:22,17.5167,-101.2667,87.37,36,5,4.88
110,Lompoc,US,2022-02-27 16:37:33,34.6391,-120.4579,58.41,34,100,4.45
111,Puerto Del Rosario,ES,2022-02-27 16:41:22,28.5004,-13.8627,64.11,67,45,26.71
112,Shingu,JP,2022-02-27 16:41:23,33.7333,135.9833,38.52,78,0,6.62
113,Kasempa,ZM,2022-02-27 16:41:23,-13.4584,25.8338,65.79,93,73,4.81
114,Margate,GB,2022-02-27 16:41:23,51.3813,1.3862,46.62,62,0,17.27
115,Punta Arenas,CL,2022-02-27 16:37:44,-53.15,-70.9167,50.79,49,100,14.9
116,Celestun,MX,2022-02-27 16:41:24,20.8667,-90.4,79.61,60,0,4.29
117,Saldanha,ZA,2022-02-27 16:41:24,-33.0117,17.9442,67.75,90,32,6.89
118,Makakilo City,US,2022-02-27 16:41:24,21.3469,-158.0858,71.85,75,91,3.36
119,Iguguno,TZ,2022-02-27 16:41:24,-4.5697,34.6275,64.33,94,100,4.65
120,Nanortalik,GL,2022-02-27 16:41:25,60.1432,-45.2371,16.63,86,100,22.97
121,Ulladulla,AU,2022-02-27 16:41:25,-35.35,150.4667,64.87,95,29,3.4
122,Sitka,US,2022-02-27 16:41:25,57.0531,-135.33,44.49,70,100,12.66
123,Taber,CA,2022-02-27 16:41:25,49.8167,-112.1518,40.84,60,100,33.38
124,Port Elizabeth,ZA,2022-02-27 16:38:13,-33.918,25.5701,71.85,84,4,20.0
125,Hofn,IS,2022-02-27 16:41:26,64.2539,-15.2082,37.04,65,94,9.42
126,Bathsheba,BB,2022-02-27 16:37:45,13.2167,-59.5167,79.41,89,75,13.8
127,Puerto Escondido,MX,2022-02-27 16:37:00,15.85,-97.0667,85.64,51,0,6.6
128,Honiara,SB,2022-02-27 16:41:26,-9.4333,159.95,76.93,96,100,5.64
129,Sterling,US,2022-02-27 16:41:26,39.0062,-77.4286,47.61,30,40,11.59
130,Chumikan,RU,2022-02-27 16:41:27,54.7183,135.315,-9.45,88,50,10.6
131,Ostrovnoy,RU,2022-02-27 16:41:27,68.0531,39.5131,32.43,89,98,31.41
132,Berdsk,RU,2022-02-27 16:41:27,54.7551,83.0967,20.03,94,100,11.88
133,Kulhudhuffushi,MV,2022-02-27 16:41:28,6.6221,73.07,82.62,71,58,8.03
134,Pisco,PE,2022-02-27 16:41:28,-13.7,-76.2167,78.1,68,30,9.44
135,Hithadhoo,MV,2022-02-27 16:41:28,-0.6,73.0833,83.84,70,47,6.8
136,Williamsburg,US,2022-02-27 16:37:50,37.2707,-76.7075,45.19,58,100,6.93
137,Katobu,ID,2022-02-27 16:41:28,-4.9408,122.5276,75.38,92,88,1.99
138,Morros,BR,2022-02-27 16:42:29,-9.4467,-46.3003,91.02,39,65,4.9
139,Busselton,AU,2022-02-27 16:37:48,-33.65,115.3333,66.02,75,28,15.59
140,Kieta,PG,2022-02-27 16:42:29,-6.2167,155.6333,76.95,90,100,2.95
141,Acapulco,MX,2022-02-27 16:39:16,16.8634,-99.8901,85.82,66,0,5.75
142,Maragogi,BR,2022-02-27 16:42:29,-9.0122,-35.2225,85.23,63,34,11.01
143,Ponta Delgada,PT,2022-02-27 16:42:29,37.7333,-25.6667,63.45,85,95,19.53
144,Panan,PH,2022-02-27 16:42:30,15.2134,120.0272,76.89,76,34,7.65
145,Solnechnyy,RU,2022-02-27 16:42:30,50.7214,136.6319,-2.96,83,72,5.08
146,Ushumun,RU,2022-02-27 16:42:30,52.7833,126.5333,-2.83,88,53,7.2
147,Ancud,CL,2022-02-27 16:42:31,-41.8697,-73.8203,56.55,66,97,13.35
148,Bidhuna,IN,2022-02-27 16:42:31,26.8022,79.5088,64.6,52,0,8.16
149,Laramie,US,2022-02-27 16:42:31,41.3114,-105.5911,24.35,62,1,10.16
150,Abha,SA,2022-02-27 16:42:31,18.2164,42.5053,60.93,70,9,3.09
151,Cherskiy,RU,2022-02-27 16:42:32,68.75,161.3,-2.36,97,100,8.61
152,Chokurdakh,RU,2022-02-27 16:42:32,70.6333,147.9167,-12.26,100,100,5.95
153,Dauphin,CA,2022-02-27 16:39:25,51.1494,-100.0502,8.74,78,100,11.5
154,Cravo Norte,CO,2022-02-27 16:42:32,6.3017,-70.2041,89.62,47,98,12.77
155,Santa Maria,BR,2022-02-27 16:41:31,-29.6842,-53.8069,105.93,22,97,10.25
156,Yugorsk,RU,2022-02-27 16:42:33,61.3133,63.3319,20.35,94,80,5.59
157,Thomaston,US,2022-02-27 16:42:33,32.8882,-84.3266,63.09,74,100,5.75
158,Guerrero Negro,MX,2022-02-27 16:42:33,27.9769,-114.0611,65.79,23,84,1.3
159,Airai,TL,2022-02-27 16:37:46,-8.9266,125.4092,59.85,92,100,3.24
160,Sola,VU,2022-02-27 16:42:33,-13.8833,167.55,80.65,82,100,22.46
161,Norman Wells,CA,2022-02-27 16:42:18,65.282,-126.8329,-7.56,71,0,16.11
162,Handan,CN,2022-02-27 16:42:34,36.6006,114.4678,53.42,34,100,10.92
163,Tiksi,RU,2022-02-27 16:42:34,71.6872,128.8694,-11.56,98,100,3.04
164,Zhigansk,RU,2022-02-27 16:42:34,66.7697,123.3711,-16.02,100,100,7.27
165,Upington,ZA,2022-02-27 16:42:35,-28.4478,21.2561,92.88,12,10,5.59
166,Cedar City,US,2022-02-27 16:42:35,37.6775,-113.0619,33.48,60,19,0.47
167,Vokhma,RU,2022-02-27 16:42:35,58.9303,46.7586,24.76,92,100,3.15
168,Chongoyape,PE,2022-02-27 16:42:35,-6.6406,-79.3892,84.16,60,76,7.56
169,Dikson,RU,2022-02-27 16:37:43,73.5069,80.5464,-6.47,100,100,4.74
170,Saint-Pierre,RE,2022-02-27 16:42:36,-21.3393,55.4781,79.03,79,97,5.75
171,Sao Gabriel,BR,2022-02-27 16:42:36,-30.3364,-54.32,96.49,34,100,8.39
172,Filadelfia,US,2022-02-27 16:37:42,39.9523,-75.1638,44.44,26,27,14.81
